geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
kwt,Kuwait,40.152,39.776,40.305,41.662,42.456,42.94,43.038,43.139,43.292,43.435,43.79,43.978,44.365,44.246,44.635,44.748,44.683,44.616,45.161,45.953,46.478,46.891,46.915,46.62,47.326,46.732,46.655,46.437,46.281,42.144,43.6,46.853,45.958,45.681,45.698,45.701
lao,Lao,58.727,58.472,58.316,58.136,57.965,57.864,57.728,57.679,57.545,57.452,57.394,57.297,57.214,57.126,57.027,56.902,56.805,56.704,56.611,56.509,56.19,55.883,55.579,55.29,55.012,54.742,54.483,55.673,56.881,57.551,59.154,60.825,60.83,60.914,60.96,60.99
lbn,Lebanon,16.311,16.526,16.668,16.793,16.919,17.122,17.194,17.348,17.417,17.562,17.732,17.924,18.112,18.352,18.512,18.673,18.856,19.362,19.899,20.38,20.821,21.264,21.73,22.243,22.772,23.346,23.932,24.517,25.091,22.679,23.32,23.468,23.475,,,
lbr,Liberia,69.737,69.77,69.884,69.978,70.019,70.072,70.162,70.219,70.239,70.224,70.192,70.183,70.008,70.005,70.005,70.188,70.205,70.213,70.205,70.191,70.346,70.491,70.577,70.637,70.461,70.273,70.299,70.33,70.362,69.241,69.634,70.4,70.473,70.476,70.489,70.5
lby,Libya,19.853,20.043,20.269,20.473,20.78,21.185,21.502,21.92,22.263,22.625,22.892,23.175,23.548,23.893,24.273,24.52,24.856,25.056,25.245,25.493,25.362,25.411,25.392,25.449,25.301,25.349,25.529,25.577,25.465,24.903,25.105,24.845,24.86,24.701,24.753,24.607
lca,St. Lucia,37.414,37.802,38.039,38.368,39.748,40.878,39.001,38.208,41.563,41.609,41.181,41.116,39.403,41.789,43.589,45.814,47.436,50.471,50.12,49.658,49.176,50.786,48.118,48.532,49.031,49.654,50.194,50.352,53.201,35.565,46.529,51.503,55.347,55.347,55.565,55.553
lka,Sri Lanka,31.612,28.564,29.443,30.139,28.736,29.191,29.466,35.661,32.621,32.165,31.957,31.162,31.003,30.772,30.922,31.41,31.466,31.578,31.188,31.426,31.578,30.637,31.665,31.117,32.7,32.842,33.812,30.799,31.555,29.051,28.917,29.623,28.648,29.048,29.028,29.012
lso,Lesotho,55.198,55.249,55.193,55.196,55.119,55.233,55.213,55.222,55.121,54.56,54.055,53.483,52.919,52.268,51.762,51.151,50.625,50.082,49.305,48.725,48.079,47.679,46.951,45.742,44.519,43.43,42.154,40.885,39.608,38.492,38.58,39.831,39.929,39.758,39.59,39.418
ltu,Lithuania,58.469,57.522,49.532,48.824,46.118,46.115,46.654,47.069,48.504,47.444,45.814,45.502,47.557,45.656,46.317,47.266,47.9,47.629,46.544,44.716,45.897,47.044,47.381,48.904,49.987,51.907,52.654,53.439,54.083,52.952,53.58,54.857,54.224,53.891,53.789,53.656
lux,Luxembourg,35.314,37.288,36.001,36.202,33.987,35.008,36.408,36.544,38.787,40.31,40.932,41.469,41.006,41.669,43.239,43.449,44.625,44.459,45.976,46.313,46.263,48.234,48.091,48.946,50.344,50.086,51.227,51.725,52.014,52.037,53.509,54.297,54.103,53.681,53.411,53.227
lva,Latvia,51.497,49.124,43.988,42.683,42.294,41.29,43.48,44.627,43.182,42.427,43.721,44.555,44.444,44.219,45.362,48.447,49.965,50.962,46.679,44.978,45.614,46.547,47.784,48.059,49.363,50.255,50.839,52.069,52.465,51.898,50.627,52.252,52.424,51.924,51.726,51.597
mar,Morocco,20.511,20.621,20.747,20.95,21.085,21.354,21.394,21.658,21.704,21.916,22.193,21.677,21.784,22.417,22.587,23.29,23.576,23.707,23.503,23.122,22.544,21.933,22.351,22.23,21.825,20.786,20.038,19.794,19.57,18.187,18.227,17.41,17.6,17.481,17.375,17.282
mda,Moldova,55.124,54.42,54.476,53.58,53.795,52.726,52.682,51.867,51.416,52.31,51.501,51.762,53.256,51.942,52.486,55.563,57.716,58.214,58.548,61.324,62.984,64.211,64.606,68.453,68.499,68.268,66.547,65.736,67.567,67.448,70.317,71.053,69.07,69.305,69.54,69.741
mdg,Madagascar,78.61,78.515,78.466,78.625,78.64,78.659,78.774,78.858,78.948,78.996,79.421,78.921,78.837,79.861,81.155,80.84,80.583,80.339,79.859,79.423,81.238,83.17,82.713,82.24,81.749,81.459,81.182,80.925,80.684,79.189,79.565,79.727,79.811,79.861,79.902,79.945
mdv,Maldives,21.035,22.53,24.092,25.708,27.356,29.026,30.726,32.461,34.224,36.013,35.543,35.097,34.679,34.266,33.749,33.193,32.53,31.959,31.174,32.059,32.985,33.982,34.987,36.017,37.084,38.157,38.75,39.212,39.48,38.595,39.544,39.22,39.313,39.361,39.388,39.408
mex,Mexico,32.724,33.526,34.4,34.548,34.278,35.014,37.12,37.316,37.117,37.559,36.939,36.847,37.235,37.985,39.542,40.688,41.009,40.85,40.774,40.72,41.185,42.309,42.274,41.434,41.971,42.271,42.057,42.629,43.971,40,42.793,44.482,45.994,46.073,45.98,45.956
mkd,North Macedonia,31.586,30.377,29.277,27.668,25.073,23.427,24.652,25.537,26.888,26.64,27.982,28.053,27.039,26.431,26.353,26.016,27.367,27.764,28.347,27.045,29.597,29.479,30.907,30.585,31.584,31.562,32.035,32.899,34.934,35.113,34.927,36.924,37.11,36.626,36.657,36.55
mli,Mali,59.58,59.514,59.528,59.475,59.498,59.523,59.535,59.582,59.59,59.577,59.628,59.624,59.672,59.599,59.604,59.562,59.552,59.52,59.493,59.471,59.428,59.349,59.294,59.302,60.403,58.781,57.051,56.994,55.831,48.835,54.994,56.244,56.244,56.134,56.1,56.089
mlt,Malta,25.173,25.588,26.07,26.294,26.471,26.964,27.582,27.739,28.048,27.772,26.952,27.978,27.077,25.425,27.326,27.61,29.495,30.828,30.952,31.803,32.98,35.765,38.069,39.924,40.701,42.15,44.045,47.006,48.399,49.88,51.673,54.012,53.396,53.758,54.011,54.126
mmr,Myanmar,60.206,59.659,59.348,58.964,58.583,58.25,57.965,57.672,57.103,56.409,55.857,55.279,54.635,54.037,53.464,52.934,52.471,52.078,51.696,51.375,51.197,50.972,50.728,50.519,50.338,48.563,46.796,47.967,46.069,43.753,38.978,39.517,39.55,39.444,39.327,39.215
mne,Montenegro,27.958,27.823,27.675,27.526,27.398,27.322,27.223,27.198,26.991,27.026,26.964,27.063,26.947,26.896,26.854,29.897,32.949,34.175,33.116,32.967,33.238,34.082,34.748,36.797,38.138,37.882,37.622,38.636,39.534,35.379,34.865,36.178,36.269,36.122,35.87,35.588
mng,Mongolia,48.63,49.163,49.555,49.806,49.925,50.133,50.256,50.365,50.509,50.661,50.732,50.741,50.562,50.453,50.294,50.175,50.282,50.608,50.237,50.068,51.519,51.896,51.251,51.177,51.16,49.032,49.717,49.231,52.154,51.046,48.406,51.051,51.118,50.639,50.185,49.583
moz,Mozambique,85.444,85.373,85.46,85.509,85.611,85.651,85.689,85.766,85.806,85.766,85.813,85.828,85.91,85.129,84.332,83.566,82.746,81.912,81.007,80.105,79.191,78.271,77.299,76.308,75.276,75.269,75.224,75.19,75.172,74.292,74.294,75.2,75.261,75.16,75.055,74.941
mrt,Mauritania,22.223,22.461,22.785,23.016,23.354,23.633,23.906,24.13,24.396,24.683,24.574,24.496,24.526,24.508,24.5,24.519,24.394,24.245,24.014,23.98,23.95,23.923,23.801,23.652,23.508,23.332,23.191,22.73,22.294,21.887,22.013,22.242,22.225,22.192,22.157,22.111
mus,Mauritius,33.16,33.241,33.281,33.369,33.427,33.572,33.735,33.886,33.948,34.073,31.996,33.398,35.946,34.402,34.396,34.98,34.608,36.149,36.708,37.79,37.583,37.951,39.908,40.288,41.38,40.645,41.087,41.226,41.876,39.023,37.443,39.268,39.482,39.41,39.289,39.168
mwi,Malawi,73.731,73.56,73.588,73.257,73.622,73.577,73.776,73.577,73.512,73.492,73.362,73.349,73.427,73.599,73.626,72.284,70.957,69.568,68.105,66.5,64.841,63.935,63.084,62.252,61.412,60.515,59.627,59.731,59.863,58.925,59.231,59.729,59.707,59.418,59.19,59
mys,Malaysia,43.217,43.237,43.062,43.375,43.731,44.385,44.398,44.09,44.191,44.392,43.947,43.87,43.846,43.695,43.652,43.73,43.683,43.574,43.409,43.584,43.788,45.507,47.05,48.841,49.099,48.973,49.315,49.742,50.017,48.978,48.93,49.482,49.485,49.536,49.532,49.512
nam,Namibia,39.26,38.997,38.558,38.052,36.822,35.802,34.749,35.498,36.271,37.028,36.871,36.785,36.674,36.838,37.287,37.875,38.205,38.728,39.065,39.609,41.277,43.006,46.444,45.544,43.633,41.611,43.286,45.097,45.036,43.74,44.264,45.177,45.366,45.504,45.651,45.759
ner,Niger,68.234,68.229,68.228,68.231,68.221,68.204,68.18,68.2,68.172,68.129,68.085,67.783,67.492,67.085,66.795,67.105,67.386,67.636,67.861,68.141,68.385,64.302,63.051,61.809,61.482,61.17,60.853,60.546,60.233,59.666,59.709,60.161,60.227,60.066,59.887,59.725
nga,Nigeria,75.041,75.028,74.946,74.999,74.985,75.028,75.074,75.099,75.086,75.061,75.035,74.978,74.916,74.834,74.67,74.596,74.499,74.433,74.367,74.298,74.239,74.321,74.395,74.181,73.992,73.779,73.551,73.367,73.246,72.417,71.967,72.92,77.446,77.484,77.411,77.3
nic,Nicaragua,30.245,30.22,30.114,30.352,30.817,31.196,31.451,31.675,32.44,33.207,33.966,34.639,35.391,36.1,37.792,38.948,39.731,39.724,39.602,40.57,41.981,43.504,44.487,45.243,45.73,46.681,47.457,46.232,45.811,45.109,46.116,47.024,47.553,47.723,47.852,47.945
nld,Netherlands,50.473,52.135,52.363,52.241,51.827,52.448,53.364,54.528,55.645,57.071,58.203,58.308,57.871,56.955,55.593,56.228,56.94,57.626,57.302,57.044,57.337,57.333,56.622,55.631,56.342,56.851,57.661,58.675,59.528,59.261,59.023,60.06,60.58,60.526,60.449,60.278
nor,Norway,51.224,51.545,52.071,53.119,52.753,54.359,55.433,56.912,58.352,58.924,59.067,59.299,59.673,60.098,60.05,61.212,62.211,62.337,62.048,61.312,61.286,61.283,60.95,60.527,60.176,60.089,59.594,59.652,59.896,59.443,59.124,59.707,59.634,59.438,59.598,59.484
npl,Nepal,18.247,18.334,18.378,18.38,18.353,18.343,18.362,18.455,18.583,18.744,18.942,19.112,19.301,19.528,19.807,20.088,20.393,20.787,21.231,21.721,22.197,22.64,23.001,23.38,23.75,24.022,24.207,24.326,24.316,23.344,23.565,24.101,24.198,24.259,24.332,24.392
nzl,New Zealand,48.423,48.187,48.516,50.17,51.607,52.982,52.534,52.018,52.835,53.33,54.505,55.116,55.619,56.435,57.603,58.108,58.723,58.83,57.74,57.133,57.691,57.44,57.944,58.978,59.142,60.512,61.525,62.289,62.427,61.468,63.045,64.029,64.278,63.53,63.472,63.427
omn,Oman,20.85,20.936,21.147,21.251,21.262,21.347,21.436,21.576,21.773,21.851,21.992,22.256,22.493,22.604,22.786,23.056,23.329,23.684,23.928,24.19,24.384,24.676,25.111,25.565,25.961,26.366,27.336,28.034,27.609,25.679,27.686,27.121,27.187,27.153,27.111,27.101
pak,Pakistan,13.724,13.751,14.129,14.429,12.512,13.662,14.887,15.194,15.633,16.076,16.116,16.17,16.938,17.719,18.289,18.886,19.261,19.745,20.905,21.895,22.08,21.659,22.01,22.524,22.509,22.532,21.54,20.589,21.784,21.742,22.128,22.353,22.438,22.481,22.507,22.538
pan,Panama,34.251,35.216,36.087,36.824,37.721,38.16,38.661,40.452,40.327,41.056,41.745,42.495,42.969,43.417,44.13,43.175,43.999,44.983,43.388,44.675,44.032,46.398,47.799,47.814,48.744,49.125,48.661,50.89,51.882,44.697,43.736,47.062,48.192,48.204,48.162,48.142
per,Peru,41.524,41.171,42.547,43.942,46.738,49.074,51.557,52.16,54.732,50.842,55.585,57.095,58.991,59.604,61.078,64.251,66.859,67.017,67.6,69.013,68.486,68.273,67.424,66.944,65.392,65.029,66.673,67.141,67.427,55.678,61.245,63.715,61.309,61.452,61.549,61.588
phl,Philippines,45.522,45.515,45.508,45.51,45.498,45.442,45.377,45.389,45.323,45.252,45.257,45.258,45.227,44.896,45.457,45.541,45.838,45.179,45.89,46.297,47.062,46.651,46.491,47.292,47.104,46.819,43.828,44.315,45.388,41.516,42.514,48.939,49.11,48.721,48.369,48.01
png,Papua New Guinea,70.01,69.685,69.265,69.173,69.364,69.166,69.41,69.713,69.751,70.021,68.012,65.889,63.722,61.475,59.18,56.82,54.425,51.965,49.516,47.065,47.323,47.527,47.737,47.757,47.921,48.111,48.306,48.603,48.799,48.525,49.116,49.537,49.548,49.534,49.503,49.459
pol,Poland,45.451,45.255,44.305,43.849,43.657,43.563,43.331,43.68,42.703,41.569,39.967,38.355,38.112,37.994,38.597,39.625,41.487,42.916,43.255,43.46,43.359,43.485,43.428,44.554,45.382,46.139,46.918,47.543,47.421,47.32,48.913,49.709,50.421,50.236,49.808,49.487
prk,North Korea,74.658,74.94,75.072,75.11,75.306,75.455,75.679,75.615,75.266,75.282,75.131,75.139,75.063,75.028,74.941,75.049,75.112,75.103,75.173,75.254,75.163,75.156,75.114,75.141,75.168,74.965,75.152,75.432,75.427,74.073,74.231,75.428,75.397,75.382,75.361,75.312
prt,Portugal,47.305,46.276,45.736,45.326,45.255,45.346,46.685,48.945,49.632,50.235,50.831,51.208,50.809,50.383,50.498,50.573,50.612,50.905,49.98,49.211,47.506,46.222,45.291,46.077,46.843,47.43,48.882,50.274,50.625,49.37,49.665,50.657,51.112,50.909,50.823,50.604
pry,Paraguay,48.826,49.174,49.027,49.69,50.19,47.631,48.916,49.675,48.854,47.066,47.882,45.604,47.213,52.115,52.166,47.588,50.418,50.542,51.458,49.828,50.97,56.606,54.811,50.683,52.116,52.675,53.337,54.944,55.251,51.41,54.13,54.119,54.663,54.446,54.504,54.599
pse,Palestine,11.087,11.099,11.107,11.117,11.147,11.161,11.237,11.326,11.41,11.405,9.028,8.772,10.604,10.951,10.647,11.737,12.851,11.83,11.649,11.007,12.127,11.974,11.504,12.243,11.857,10.86,10.16,10.318,10.872,9.892,10.087,11.361,,,,
qat,Qatar,46.606,46.315,46.757,46.959,47.233,47.22,45.704,45.447,45.793,45.917,46.284,46.38,46.736,45.569,45.562,45.653,48.072,48.356,48.224,49.409,50.738,51.478,52.489,54.007,55.499,56.382,57.209,58.105,58.848,59.147,60.316,63.299,63.018,63.061,63.187,63.333
rou,Romania,38.374,38.516,38.377,38.193,38.173,38.709,39.527,39.927,40.083,39.82,39.962,39.259,39.804,39.887,39.736,39.959,40.409,41.017,36.833,39.512,39.39,39.444,39.283,39.677,40.184,40.174,41.563,41.556,41.604,40.793,40.605,40.988,39.858,39.754,39.706,39.668
rus,Russia,55.966,55.052,52.749,49.794,48.713,47.896,45.847,44.483,47.518,49.042,48.955,50.224,49.852,50.634,51.352,51.878,52.985,52.814,52.034,52.224,52.921,53.433,53.124,53.179,52.633,52.728,52.543,52.792,52.434,51.617,52.501,53.109,53.439,53.185,52.319,51.578
rwa,Rwanda,45.703,45.858,45.898,45.869,46.167,46.449,46.732,46.79,46.82,46.954,47.124,47.42,47.402,47.436,47.4,47.537,47.544,47.58,47.544,47.569,47.55,47.634,47.631,47.644,47.697,47.777,47.804,48.007,45.607,49.344,43.407,45.609,49.706,49.799,49.759,49.593
sau,Saudi Arabia,14.163,14.229,14.404,14.57,14.75,14.947,15.135,15.333,15.508,14.865,14.481,13.955,14.112,14.315,14.565,14.87,14.521,14.305,13.609,14.324,15.009,15.286,15.157,15.163,16.137,17.301,15.154,16.828,18.691,22.065,27.852,28.348,29.908,30.105,30.286,30.452
sdn,Sudan,18.65,19.313,20.088,20.774,21.526,22.315,22.215,21.978,21.73,21.415,21.204,21,20.774,20.546,20.333,20.124,19.915,19.692,20.354,20.12,19.806,19.116,18.485,17.921,17.439,16.779,16.107,15.43,14.683,13.428,12.625,12.427,,,,
sen,Senegal,31.447,31.494,31.58,31.635,31.741,31.823,31.922,31.999,32.096,32.165,32.216,32.233,32.29,32.319,32.371,32.367,32.406,32.461,32.53,32.609,32.673,32.381,32.061,31.82,31.566,36.882,34.145,35.151,36.171,35.568,36.05,35.89,35.864,35.884,35.941,35.913
sgp,Singapore,44.639,44.995,45.769,46.646,47.661,48.204,49.567,49.005,48.968,50.319,50.508,48.52,49.026,49.372,50.456,52.333,51.312,53.607,51.984,54.604,55.287,56.067,56.026,57.352,58.867,58.564,58.112,58.553,59.768,59.015,61.182,60.511,59.676,60.213,60.609,60.916
slb,Solomon Islands,80.405,80.095,80.072,79.898,79.618,79.692,79.815,79.842,80.014,80.636,80.991,81.213,81.392,81.432,81.415,81.398,81.391,81.326,81.382,81.458,81.527,81.748,81.847,81.857,81.853,81.7,81.625,81.554,81.529,80.7,81.052,81.118,81.181,81.182,81.17,81.143
sle,Sierra Leone,62.895,62.782,62.746,62.698,62.719,62.693,62.65,62.666,62.613,62.638,62.59,62.7,62.711,64.402,63.334,62.307,61.297,60.279,59.246,58.207,57.17,56.18,55.197,54.144,53.085,52.119,51.196,50.316,50.445,49.895,50.215,50.463,50.455,50.14,49.867,49.631
slv,El Salvador,38.267,38.614,40.484,42.022,40.601,39.168,39.627,42.935,43.468,43.724,42.82,43.387,44.663,42.796,43.052,44.131,44.389,44.407,43.763,44.055,43.98,44.916,45.826,44.611,43.526,44.049,43.347,43.244,43.967,41.039,43.064,44.509,45.051,45.213,45.328,45.385
som,Somalia,15.928,15.981,16.022,15.849,15.869,15.859,15.928,15.923,15.895,15.917,15.865,15.837,15.805,15.786,15.72,15.637,15.582,15.567,15.576,15.595,15.665,15.73,15.777,15.832,15.917,15.938,15.978,15.952,15.952,15.691,15.655,15.774,15.798,15.82,15.843,15.871
srb,Serbia,40.467,40.229,40.023,39.7,39.319,39.189,38.707,38.514,38.808,39.282,39.045,38.542,38.071,34.849,33.187,33.663,35.784,37.626,35.454,33.356,31.804,31.53,32.813,34.793,35.181,37.99,39.499,40.034,41.575,41.818,44.175,46.078,45.629,46.006,46.179,46.192
ssd,South Sudan,61.646,61.605,61.719,61.626,61.608,61.606,61.82,61.837,61.843,61.693,61.706,61.701,61.659,61.655,61.712,61.793,61.889,61.954,61.906,61.999,62.026,61.88,62.019,61.982,61.946,61.462,61.112,61.266,61.705,59.992,60.527,61.574,61.587,,,
stp,Sao Tome and Principe,18.147,18.101,18.156,18.195,18.256,18.322,18.384,18.493,18.627,18.746,17.462,17.247,17.401,17.717,17.494,17.489,17.746,17.989,18.148,18.391,18.62,18.901,19.301,19.699,20.067,20.48,20.91,21.03,21.117,20.421,20.648,21.054,20.992,20.949,20.942,20.961
sur,Suriname,25.186,25.122,24.774,27.576,28.845,27.044,27.281,27.065,26.038,26.824,27.734,28.704,29.691,30.714,31.401,32.056,32.666,33.321,33.933,35.393,36.092,36.768,38.081,38.354,39.277,40.088,40.251,40.862,41.026,38.28,39.039,39.369,39.872,40.036,40.174,40.291
svk,Slovak Republic,52.644,50.673,48.594,44.118,44.396,45.656,45.163,44.758,43.447,42.91,43.115,42.776,43.504,42.385,42.344,43.086,43.943,45.201,43.628,43.174,43.304,43.289,43.584,45.273,45.231,46.852,48.199,48.565,49.062,48.118,50.721,52.137,52.415,52.431,52.102,51.705
svn,Slovenia,48.837,48.655,48.469,48.129,48.038,48.016,49.199,49.327,48.308,47.899,48.057,48.675,46.898,49.452,49.099,49.391,50.391,51.045,50.408,49.413,48.073,47.418,46.265,46.991,47.031,47.638,49.534,50.657,50.736,50.115,50.624,51.548,51.544,51.351,51.101,50.764
swe,Sweden,60.314,57.983,54.825,53.783,54.366,54.006,52.921,52.754,54.374,55.201,56.002,56.002,55.849,54.852,54.548,54.934,55.846,55.908,54.621,53.963,54.918,55.124,55.396,55.654,56.165,56.715,57.127,57.462,57.079,55.601,55.412,56.376,56.905,56.33,56.501,56.389
swz,Eswatini,34.556,34.442,34.143,34.059,34.025,33.496,33.009,32.836,32.698,32.547,32.378,32.267,32.16,32.053,31.911,31.774,31.611,31.95,32.313,32.766,33.261,33.796,34.239,34.662,35.058,35.461,34.393,33.326,32.31,29.604,29.331,28.335,28.415,28.608,28.809,28.946
syr,Syria,16.798,17.658,18.47,17.722,17.618,16.324,15.125,14.036,15.804,16.738,15.116,15.1,15.061,13.946,12.868,11.824,10.597,10.357,10.302,10.129,11.765,10.036,9.556,9.281,9.295,9.448,9.623,9.843,10.131,9.712,9.792,10.086,10.093,10.051,10.042,10.043
tcd,Chad,64.395,64.421,64.287,63.688,63.067,62.464,61.843,61.225,60.595,59.957,59.327,58.696,58.066,57.435,56.793,56.133,55.453,54.781,54.126,53.478,52.813,52.156,51.482,50.826,50.155,49.475,48.797,48.132,48.164,47.562,47.706,48.391,48.345,48.087,47.939,47.824
tgo,Togo,52.469,52.456,52.38,52.582,52.741,52.987,53.061,53.074,53.106,53.047,53.123,53.173,53.272,53.297,53.26,53.267,53.567,53.911,54.191,54.463,54.703,54.696,54.698,54.71,54.727,54.46,54.195,54.508,54.833,54.174,54.388,54.846,54.941,54.929,54.904,54.877
tha,Thailand,63.716,64.844,64.472,64.487,65.74,66.879,67.213,64.214,63.367,64.157,63.716,64.117,64.109,63.953,64.47,63.575,64.115,64.187,63.721,63.289,65.361,64.725,61.633,61.101,60.698,59.741,58.85,59.126,58.469,58.464,58.441,58.946,58.806,58.416,57.978,57.534
tjk,Tajikistan,30.567,30.576,30.381,30.187,30.094,29.865,29.814,29.765,29.944,30.136,30.33,30.37,30.479,30.795,30.416,30.018,29.566,27.744,26.267,26.692,27.127,27.583,28.006,28.42,28.831,29.255,28.883,28.504,28.15,27.72,28.142,28.311,28.422,28.41,28.282,28.129
tkm,Turkmenistan,50.908,51.958,52.031,52.485,52.062,51.083,51.874,51.087,49.95,50.013,50.079,50.369,50.5,50.532,50.146,49.898,49.676,49.336,49.388,49.02,48.575,48.301,48.083,47.887,47.789,47.705,47.625,47.563,47.51,46.099,46.472,47.512,47.472,47.37,47.249,47.125
tls,Timor-Leste,62.676,62.993,63.221,63.488,63.458,63.332,63.188,62.997,62.739,62.432,61.656,61.809,61.772,61.549,61.422,61.604,61.12,60.555,60.07,59.568,59.423,59.392,59.425,59.411,59.465,57.438,58.026,58.579,58.436,58.265,58.427,60.164,59.969,59.973,60.058,60.192
ton,Tonga,37.727,39.984,42.323,44.357,43.996,43.521,43.058,42.626,42.281,41.903,41.567,41.251,40.959,41.661,42.423,43.227,43.078,42.988,42.852,42.699,42.536,42.421,42.248,42.043,41.856,41.704,41.499,41.271,41.324,40.566,41.252,40.867,40.763,40.572,40.365,40.164
tto,Trinidad and Tobago,33.264,33.908,34.125,35.309,36.724,38.259,39.122,39.496,40.417,41.105,41.821,42.168,44.161,47.188,49.008,50.588,49.665,51.209,49.673,49.766,48.948,50.475,51.242,51.826,50.437,50.279,49.795,49.371,48.969,46.948,46.308,47.525,47.603,47.104,46.807,46.4
tun,Tunisia,18.522,18.859,18.903,19.053,19.171,19.432,19.681,19.749,19.784,19.869,19.98,19.931,19.821,19.807,20.103,20.776,20.854,20.855,20.113,20.084,17.969,19.01,19.58,20.182,20.275,20.384,20.473,21.147,21.126,20.447,21.293,21.973,21.304,20.823,20.707,20.658
tur,Turkey,31.573,30.058,24.157,28.625,28.543,28.643,26.476,27.191,27.652,24.848,25.064,25.23,23.864,20.596,20.528,20.823,20.875,21.508,22.163,23.878,25.406,26.193,26.99,26.579,27.438,27.93,28.806,29.375,28.63,26.213,27.952,30.302,31.215,32.174,32.474,32.739
tza,Tanzania,80.485,80.496,80.415,80.574,80.85,81.083,81.26,81.389,81.521,81.673,81.851,82.183,82.504,82.793,83.032,83.235,83.003,82.712,82.417,80.889,79.423,78.726,78.029,77.926,77.883,77.809,77.731,77.634,77.525,73.239,77.325,77.375,77.395,77.365,77.348,77.344
uga,Uganda,68.167,68.135,68.22,68.306,68.56,68.634,68.657,68.527,68.485,68.437,68.416,68.358,68.161,68.98,69.721,69.276,68.816,68.371,67.793,67.665,74.646,78.105,80.311,73.457,70.788,67.863,64.596,68.09,71.196,71.401,71.55,73.927,73.88,73.787,73.733,73.802
ukr,Ukraine,52.602,52.533,52.419,52.355,50.597,49.296,48.643,47.325,46.983,46.997,47.259,47.664,48.147,48.321,49.044,49.116,49.528,49.206,48.279,48.264,48.07,47.906,47.758,46.82,46.282,46.207,45.938,45.818,45.349,43.738,42.893,,,,,
ury,Uruguay,38.375,39.108,38.627,39.595,40.225,39.709,40.927,43.177,41.797,41.199,41.062,39.172,39.039,40.918,42.248,44.276,46.647,48.482,49.393,49.719,52.247,51.808,50.782,52.147,51.318,51.019,50.748,50.317,50.236,47.642,49.935,50.619,51.872,51.735,51.66,51.654
usa,USA,52.326,52.359,52.698,53.875,54.31,54.691,55.436,55.687,56.009,56.275,55.799,55.078,54.93,54.818,55.082,55.47,55.472,55.137,53.384,52.569,52.18,52.299,52.379,52.793,53.043,53.411,53.966,54.304,54.816,51.05,52.733,54.005,54.649,54.311,54.062,53.971
uzb,Uzbekistan,44.216,45.354,43.961,43.173,43.301,41.44,41.176,39.497,39.43,40.071,40.634,41.16,41.616,41.714,41.794,41.774,41.556,40.925,40.325,39.788,40.151,39.808,39.433,38.988,38.595,38.339,37.939,37.541,37.139,36.078,36.708,36.973,37.014,36.795,36.544,36.29
vct,St. Vincent and the Grenadines,34.275,35.203,35.827,35.944,36.849,37.139,37.846,38.318,38.816,39.11,39.441,40.209,41.175,41.868,42.278,43.137,43.678,43.934,43.695,43.189,43.209,43.493,44.03,44.282,44.648,45.132,45.361,45.708,45.724,44.017,44.565,45.768,46.46,46.814,47.037,47.119
ven,Venezuela,44.471,46.01,46.341,43.919,42.427,41.729,42.13,42.478,40.239,40.977,41.716,38.8,37.047,39.085,43.7,45.327,45.925,46.642,47.022,46.153,46.067,45.974,44.86,44.988,45.1,45.276,43.533,42.147,39.647,36.69,37.098,35.292,35.737,35.438,35.189,34.944
vnm,Vietnam,73.254,73.086,72.972,72.828,72.621,72.419,70.766,70.353,69.544,68.542,69.221,69.233,68.535,68.404,68.808,69.255,69.762,70.29,70.772,70.958,71.066,71.31,72.075,72.249,71.62,71.298,71.34,72.147,70.368,67.404,67.477,68.877,68.483,68.238,68.037,67.624
vut,Vanuatu,66.14,66.168,65.932,65.851,65.88,65.942,65.728,65.791,65.824,65.727,65.856,66.042,65.925,66.102,66.306,66.19,64.19,61.849,59.075,54.841,54.292,53.748,53.221,52.706,52.183,51.727,51.261,50.79,50.267,51.242,51.129,50.507,50.551,50.33,50.139,49.982
wsm,Samoa,42.29,42.101,41.793,41.788,41.406,41.044,40.982,40.816,40.623,40.359,40.018,39.859,39.702,39.573,39.402,39.295,39.2,39.032,38.964,38.829,38.702,37.268,37.281,37.303,36.662,36.018,35.376,34.216,32.995,31.314,30.173,28.72,28.671,28.399,28.036,27.634
yem,Yemen,15.692,15.863,15.878,16.02,16.736,17.479,18.238,19.02,19.824,18.352,16.961,15.663,14.44,13.306,12.256,11.271,10.351,9.489,8.694,7.965,6.847,5.914,5.104,4.438,3.654,3.584,3.542,3.586,3.594,3.543,3.51,3.494,3.484,3.459,3.444,3.463
zaf,South Africa,36.769,36.703,36.685,36.92,37.425,37.816,38.027,38.027,38.064,38.229,38.42,38.58,38.652,38.81,38.94,39.091,39.174,39.151,38.229,34.376,36.272,36,36.611,36.166,36.993,36.33,37.028,36.693,36.186,33.604,31.625,32.881,34.652,34.221,33.919,33.612
zmb,Zambia,40.015,40.311,40.862,41.479,42.486,43.338,44.643,45.588,45.593,45.642,45.38,45.009,44.687,44.327,43.973,45.174,46.401,47.645,46.305,44.969,46.3,47.678,47.99,48.37,48.729,49.138,49.565,49.49,49.438,50.835,51.041,50.569,50.584,50.487,50.469,50.456
