geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
bol,Bolivia,54.816,54.835,55.336,55.963,56.777,57.477,58.241,58.014,57.717,57.439,57.137,56.96,56.753,56.603,56.443,56.29,56.098,55.942,55.687,55.843,55.991,55.792,55.555,55.513,54.883,54.617,56.714,61.263,63.598,59.199,67.033,68.722,69.439,69.909,70.504,71.005
bra,Brazil,40.523,41.451,43.243,43.86,44.48,42.563,42.776,42.706,43.342,44.473,45.663,47.091,46.954,48.21,48.903,49.311,49.249,49.729,49.389,48.735,47.928,47.984,48.08,48.325,47.824,46.239,46.262,46.712,47.37,42.158,43.852,47.661,48.045,48.085,47.93,47.701
brb,Barbados,45.673,45.239,44.43,44.694,48.865,52.288,51.658,52.775,54.864,56.362,56.265,56.125,56.008,57.948,57.706,58.331,59.228,58.556,58.163,57.675,56.187,55.172,56.679,55.229,56.194,57.121,57.014,56.353,57.087,55.462,55.773,55.348,55.995,55.805,55.52,55.187
brn,Brunei,43.279,44.284,45.22,46.129,46.991,47.841,48.609,49.365,50.167,50.991,51.771,51.893,51.989,52.044,52.07,52.133,52.172,52.214,52.274,52.497,52.758,52.897,52.887,52.832,52.427,52.03,51.71,51.886,50.7,49.698,51.257,50.505,50.346,50.065,49.744,49.408
btn,Bhutan,54.133,54.371,54.674,55.042,55.467,55.952,56.479,57.069,57.563,57.868,58.291,59.277,60.301,60.732,61.548,61.815,61.661,61.836,61.956,60.74,59.263,61.674,55.99,51.972,53.177,52.943,52.682,52.412,58.613,59.151,60.858,48.194,54.216,54.287,54.245,54.105
bwa,Botswana,40.666,39.673,38.759,37.823,37.526,37.231,37.404,37.45,39.236,40.954,38.991,38.273,37.658,39.255,40.831,42.539,43.474,44.358,44.914,41.809,42.474,43.243,43.644,43.936,44.116,44.3,44.548,45.019,45.268,43.695,43.484,44.315,46.257,46.738,47.127,47.433
caf,Central African Republic,62.024,61.896,61.834,61.79,61.795,61.785,61.809,61.833,61.859,61.926,61.821,61.8,61.789,61.85,61.861,61.902,61.913,61.935,61.957,61.952,61.915,61.874,61.828,61.729,61.614,61.631,61.655,61.697,61.659,60.73,60.632,61.438,61.509,61.431,61.374,61.328
can,Canada,52.225,51.374,50.924,51.288,51.631,51.497,51.996,53.069,53.957,54.741,54.935,55.874,56.796,57.093,57.05,57.469,58.193,58.329,57.458,57.317,57.221,57.44,57.685,57.224,57.125,57.059,57.453,57.595,58.029,53.725,56.185,57.913,57.919,57.204,56.949,56.852
che,Switzerland,50.429,50.629,50.46,49.739,50.106,54.544,54.687,55.644,56.072,55.799,56.762,57.519,56.827,56.315,56.328,56.946,57.253,58.895,58.865,56.902,57.705,58.018,58.2,58.898,59.297,59.784,59.533,59.788,60.107,59.504,59.066,58.801,59.627,59.334,59.085,58.773
chl,Chile,29.975,31.374,32.296,32.381,33.994,33.078,33.893,34.315,33.102,32.993,32.342,32.143,33.25,34.105,35.199,36.43,37.634,38.816,38.623,42.107,44.487,45.092,46.005,46.615,46.669,46.967,47.702,47.94,48.32,40.375,42.126,45.617,47.099,47.03,47.005,47.065
